latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
51.47528,7.15909,295.26,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,284.02,0.31,N
35.70937,4.47576,316.24,0.42,0.37,2025-06-24,0141,N21,nominal,2.0NRT,296.34,2.68,N
51.50732,6.73744,301.64,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.44,1.01,N
51.50406,6.73621,314.55,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,289.35,1.01,N
51.50161,6.72949,310.63,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,290.13,0.66,N
51.49593,6.74471,321.81,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,288.76,1.27,N
34.61705,9.6224,302.14,0.49,0.49,2025-06-24,0141,N21,nominal,2.0NRT,291.1,0.82,N
51.49836,6.72827,301.95,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,286.88,0.66,N
51.49673,6.73923,295.56,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,285.38,1.27,N
36.13092,1.24183,313.56,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,298.01,1.52,N
51.49348,6.738,318.28,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.59,2.56,N
51.49022,6.73677,332,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.9,2.56,N
36.12763,1.2411,327.88,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,301,3.91,N
51.48778,6.73006,303.53,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.88,0.7,N
35.34992,5.76224,328.64,0.47,0.39,2025-06-24,0141,N21,nominal,2.0NRT,295.65,4.6,N
51.48695,6.7124,314.28,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.63,1.82,N
51.48452,6.72883,303.74,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.63,0.7,N
